../mahout/mahout-0.1/,../mahout/mahout-0.5/,AVG Mod,10.5457148289%,,../mahout/mahout-0.5/,../mahout/mahout-0.10.0/,AVG Mod,5.01627419355%,,../mahout/mahout-0.10.0/,../mahout/mahout-0.12.2/,AVG Mod,0.0852794361526%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/ToUserPrefsMapper.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/ToCSV.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/ToCSV.java,m,1.38%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/ToCSV.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/ToCSV.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/FeatureVectorWithRatingWritable.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/EstimateConverter.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/EstimateConverter.java,m,0.195%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/EstimateConverter.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/EstimateConverter.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/IndexedVarIntWritable.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Callable.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Callable.java,m,0.0%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Callable.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Callable.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/ParallelALSFactorizationJob.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Recommender.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Recommender.java,m,6.899%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Recommender.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Recommender.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/PredictionJob.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderBuilder.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderBuilder.java,m,0.038%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderBuilder.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderBuilder.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/TaggedVarIntWritable.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderEvaluator.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderEvaluator.java,m,2.923%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderEvaluator.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderEvaluator.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/VectorWithIndexWritable.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderEvaluatorRunner.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderEvaluatorRunner.java,m,0.0%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderEvaluatorRunner.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1RecommenderEvaluatorRunner.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/AggregateAndRecommendReducer.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Runner.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Runner.java,m,0.646%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Runner.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Runner.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/ItemFilterAsVectorAndPrefsReducer.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/svd/DataModelFactorizablePreferences.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/svd/DataModelFactorizablePreferences.java,m,0.882%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/svd/DataModelFactorizablePreferences.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/svd/DataModelFactorizablePreferences.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/ItemFilterMapper.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/svd/FactorizablePreferences.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/svd/FactorizablePreferences.java,m,0.0%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/svd/FactorizablePreferences.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/svd/FactorizablePreferences.java,m,0.0%
