../azureus/Azureus_2.2.0.2_source,../azureus/Azureus_2.3.0.2_source,AVG Mod,1.80888339223%,
,SUB,71,ADD,508,
C:/Users/jtshu/Documents/Research/azureus/Azureus_2.2.0.2_source/com/aelitis/azureus/core/AzureusCore.java,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/AzureusCore.java,m,3.885%
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketReplyStats.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketReplyStore.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketRequest.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketRequestFindNode.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketRequestFindValue.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketRequestPing.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketRequestStats.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketRequestStore.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPUtils.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/Test.java,+
